Country,Code,LandArea,Population,Density,GDP,Rural,CO2,PumpPrice,Military,Health,ArmedForces,Internet,Cell,HIV,Hunger,Diabetes,LifeExpectancy,BirthRate,DeathRate,ElderlyPop,FemaleLabor,Unemployment,Renewable,Energy,Electricity,Developed,HDI,HDIGroup
Libya,LBY,1759.54,7.306,4.1,6173,18.4,8.69,,,,0,88.4,204.6,,11.4,8.7,72.2,17.3,6,4.9,37,18.7,3.1,106.95,3946,2,0.746,High
Liechtenstein,LIE,0.16,0.04,246.8,186400,85.4,,,,,,96.8,126.3,,,6.1,84.3,9.2,7.1,20.2,,,56.9,83.7,,,0.942,Very High
Lithuania,LTU,62.604,2.872,45.2,27786,31.3,4.68,1.35,6.41,14.01,37,88.5,139.1,0.06,2.5,5.8,75.8,7.8,15.1,19.9,77.8,7,33.2,,3828,2,0.879,Very High
Luxembourg,LUX,2.574,0.666,253.7,128678,7.9,11.62,1.44,1.6,10.95,1,99.3,137.1,0.06,2.5,5.9,83,9.9,6.8,15.1,71.5,5.2,20.5,224.65,8808,3,0.927,Very High
"Macao SAR, China",MAC,0.033,0.679,20681.8,67477,0,3.32,,,,,89.8,174.5,,10.7,7.8,85.4,10,4.3,13.5,72.5,2.2,11,65.54,8337,3,,
Madagascar,MDG,581.8,31.196,52.3,506,59.4,0.1,,3.15,5.27,22,20.6,70.2,0.3,39.7,4.6,65.2,30.6,6.8,3.3,84,3.1,83.1,1.82,80,1,0.487,Low
Malawi,MWI,94.28,21.104,218.2,602,81.7,0.27,,2.86,5.76,15,18,60.1,0.81,19.9,7.3,62.9,32.6,6.9,2.6,64.6,5,62.9,1.81,75,1,0.508,Low
Malaysia,MYS,328.55,35.126,105.6,11379,21.3,8,0.46,4.28,10.11,136,97.7,141.3,0.09,2.5,19,76.3,15,5.4,7.5,56.3,3.9,7.5,113.16,5086,3,0.807,Very High
Maldives,MDV,0.3,0.526,1747,12530,58,4.16,,,18.17,,83.9,136.5,0.01,,9.2,80.8,13.6,2.8,4.3,44,4.1,1.2,51.37,1562,1,0.762,High
Mali,MLI,1220.19,23.769,18.9,869,53.8,0.29,,11.43,4.96,41,33.1,114.5,0.28,9.6,2.1,59.4,41.2,9,2.4,52.4,3,71.1,4.31,179,1,0.41,Low
Malta,MLT,0.32,0.553,1661,40396,5.1,3.23,1.39,1.22,16.23,2,91.9,131.6,0.09,2.5,8,82.7,8.1,8,19.8,72.7,3.1,8.6,234.7,5004,3,0.915,Very High
Marshall Islands,MHL,0.18,0.039,222.7,6678,21.1,0,,,7.95,,73.2,38,,,23,65.1,18.5,7.9,4.4,,,12.2,,,,0.731,High
Mauritania,MRT,1030.7,5.022,4.7,2121,42.3,0.95,,12.2,8.34,21,44.4,113.1,0.12,9.3,2.1,64.7,33,7.2,3.2,27.1,10.5,19.6,14.6,338,1,0.54,Low
Mauritius,MUS,1.997,1.261,632.2,11613,59.1,3.39,,0.59,10.2,3,75.5,161.4,,5.9,22.6,73.5,9.6,10.2,12.9,50.4,6.1,8.6,58.94,2446,1,0.796,High
Mexico,MEX,1943.95,129.74,66.2,13790,18.4,3.79,1.15,2.22,11.03,341,81.2,100.3,0.16,3.1,16.9,74.8,14.6,6.7,8,50,2.8,13,57.54,2559,2,0.781,High
"Micronesia, Fed. Sts.",FSM,0.7,0.113,160.2,4084,76.6,0,,,2.6,,40.5,19.4,,,15.6,70.9,20.7,6.3,5.7,,,2,,,,0.634,Medium
Moldova,MDA,32.89,2.458,88,6729,56.6,3.42,,0.88,14.62,6,63.5,127.4,0.34,2.5,5.6,68.6,12.1,16.6,15.6,73.3,1.6,21.4,31.82,2309,1,0.763,High
Monaco,MCO,0.002,0.039,18680.9,256581,0,,,,13.65,,98.4,106.8,,,6.2,,,,36.4,,,,,,,,
Mongolia,MNG,1557.507,3.481,2.2,5839,30.9,6.43,,1.78,12.63,18,83.9,142.3,0.01,2.5,6.9,72.7,20.4,5.5,4.9,57.2,6.1,3,66.84,2585,2,0.741,High
Montenegro,MNE,13.45,0.616,45.9,12221,31.5,,1.48,3.95,14.4,12,88.2,203.2,0.02,2.5,9.1,76.2,11.4,11.5,17.5,61.5,15.3,39.6,64.12,4413,2,0.844,Very High
Morocco,MAR,446.3,37.713,83.6,3771,34.9,1.95,,12.06,7.18,246,89.9,137.5,0.02,6.9,9.1,75,17.2,5.8,7.8,21.2,9.1,10.9,23.52,965,1,0.698,Medium
Mozambique,MOZ,786.38,33.635,41.5,623,61.2,0.31,,4.73,8.15,11,21.2,42.1,3.2,24.8,3.3,59.6,36.1,8.6,2.8,78.7,3.5,76.9,5.74,386,1,0.461,Low
